Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"La provenance de ""secteurs d'activités"" dans le formulaire de la fiche client",OD-1381,OBCS-951
"Apparition code source avec fond bleu suivi d'un message d'erreur",OD-1380,OBCS-950
"L'écran OBC affiche momentanément un message d'erreur comme sur la capture ci-joint",OD-1379,OBCS-949
"impossible d'importer un fichier immo",OD-1378,OBCS-948
"Trace des opérations supprimer sur la page d'accueil - Opérations à Valider",OD-1377,OBCS-947
"Serveur erreur ''SERVICE UNAVAIBLE''",OD-1376,OBCS-946
"On constate un  mauvais déversement des données des filtres sélectionnés au niveau de l'historique de demande d'absence",OD-1375,OBCS-945
"Bouton exporter ""demandes d'absence et congés"" à mettre dans le menu "" accès fonctionnalités"" ",OD-1374,OBCS-944
"Tous les salariés ne se déversent pas dans le formulaire de Allocation congés",OD-1373,OBCS-943
"Intégration du résultat de l'année N-1 au 01 Janvier N dans les colonnes du RAN de la balance générale",OD-1372,OBCS-942
"Erreur de saisie à corriger - Marquer date de début et Date de Fin au lieu de : Date de Début x 2",OD-1371,OBCS-941
"Doublon constaté lors de la programmation de paiement fournisseur",OD-1370,OBCS-940
"Créer le menu ""Type d'entreprise"" et ""Impôts et taxes par défaut"" dans accès fonctionnalité",OD-1369,OBCS-939
"Erreur Ajax lors de l'enregistrement d'un contrat",OD-1368,OBCS-938
"Permettre l'assignation groupée de plusieurs clients à un commercial",OD-1366,
"Export Timesheet Incomplet - Sous Projet",OD-1365,OBCS-937
"Ajouter  des onglet sur le formulaire prise de carburant ''N° Bon, Client et destination.",OD-1364,OBCS-936
"Avoir la liste des articles par ordre alphabétique",OD-1363,OBCS-935
"Prévoir une sauvegarde automatique des données quand il y a un moment d'inactivité sur OBC",OD-1362,OBCS-934
"Permettre la recherche de fournisseur par poste comptable",OD-1361,OBCS-933
"Créer un modèlede bulletin sans stock congé acquis et congé pris",OD-1360,OBCS-932
"Lien direct vers les contrats avec possibilité de retour",OD-1359,OBCS-931
"Donner la possibilité dans l'historique des Contrats de filtrer sur les Contrats échu",OD-1358,OBCS-930
"Un message d'erreur s'affiche à la suppression d'une facture achat",OD-1357,OBCS-929
"Permettre le calcul de la paie pour un employé qui a 0 jour travaillé",OD-1356,OBCS-928
"Enlever la civilité (Mr,Mme,Mlle) sur le livre de paie et il faudrait avoir la possibilité de classer le livre de paie par ordre croissant des matricules et non par ordre croissant des noms.",OD-1355,OBCS-927
"Le chargement du livre de paie prend assez de temps.",OD-1354,OBCS-926
"Sélection du site Impossible",OD-1353,OBCS-925
"Erreur suppression Facture -",OD-1352,OBCS-924
"Filtre Historique - Identification des impôts & Taxes",OD-1351,OBCS-923
"Filtre Historique - Listing des impôts / Taxes programmés",OD-1350,OBCS-922
"Possibilité de ne plus faire apparaitre les opérations lettrées dans les grands livres",OD-1349,OBCS-921
"Agrandir la zone de libellé caisse afin de voir la saisie",OD-1348,OBCS-920
"Le formulaire de programmation des salaires occasionnels ne s'affichent pas",OD-1347,OBCS-919
"Lorsqu'on clique sur la fonctionnalité ""Fichier du personnel"" sur la base test, on a un message d'erreur",OD-1346,OBCS-918
"Lorsqu'on clique sur la fonctionnalité ""Code"" sur le menu latéral à gauche, il y a un message d'erreur qui apparaît",OD-1345,OBCS-917
"Workflows non déclanchés à la modification d'une opération de caisse",OD-1344,OBCS-916
"Faire ressortir le nombre de contrat par type dans l'historique",OD-1343,OBCS-915
"Rajouter a la liste des impôts sélectionner ""Taxe Bic CAFÉ_CACAO  -2.5""",OD-1342,OBCS-914
"Non affichage de données quand on sélectionne un projet dans le filtre du rapport détaillé des dettes factures fournisseurs",OD-1341,OBCS-913
"Non affichage du grand livre tiers",OD-1340,OBCS-912
"Certificat de travail",OD-1339,OBCS-911
"Sertem : Intégration Contrat de Travail",OD-1338,OBCS-910
"Intégration Dashboard Pilotage des clients : Suivi utilisation OBC",OD-1337,OBCS-909
"Non affichage des employés dans le formulaire de livre de paie par salarié",OD-1336,OBCS-908
"Modèle de document - Certificat de travail et Solde de tout compte",OD-1335,OBCS-907
"Livre de paie : Rangement par Nom de A à Z",OD-1334,OBCS-906
"Remplacer l'expression salaire de base par Salaire catégoriel",OD-1333,OBCS-905
"Ajout dans la liste des contrats, le terme ""Contrat à Terme Imprécis""",OD-1332,OBCS-904
"Rajouter une barre de défilement sur l'organigramme",OD-1331,OBCS-903
"L’intégration d’une grille des frais de mission",OD-1330,OBCS-902
"Faire ressortir le taux de démission",OD-1329,OBCS-901
"Extraction données Dashboard",OD-1328,OBCS-900
"Il est impossible d'exécuter le règlement d'une dette antérieure et d'une facture en cours par un même mode de paiement (Chèque, caisse.)",OD-1327,OBCS-899
"Il est imppossible de se connecter à OBC (Voir vidéo joint)",OD-1326,OBCS-898
"Intégration Modèle d'Evaluation par Objectif",OD-1325,OBCS-897
"Les numéros d'odre diparaissent à l'édition des rubrques",OD-1324,OBCS-896
"La nature de prestation lée à la catégorie de prestation investissement ne se deverse pas à l'enregsitrement de la facture",OD-1323,OBCS-895
"Gestion de la Rubrique Accident de Travail par entité",OD-1322,OBCS-894
"Expression de besoin : Liste contenant les employés hors effectifs",OD-1321,OBCS-893
"Un message d'erreur sort à l'édition d'une opportunité",OD-1320,OBCS-892
"Avoir un contrôle sur le nombre de caractère Plan comptable",OD-1319,OBCS-891
"Doublon - Importations Plan Comptable Entité",OD-1318,OBCS-890
"Duplication des postes comptable",OD-1317,OBCS-889
"Importation plan comptable Général entité",OD-1316,OBCS-888
"Extraction CRM OBC",OD-1314,
"Une facture enregistrée avec plusieurs lignes génère différents numéros d'imputations",OD-1313,OBCS-886
"Sur le Dashboard Accueil, le graphe ""Top 10 des achats par fournisseur "" présente les libellés suivants: ""NULL""",OD-1312,OBCS-885
"Ajouter un onglet sur formulaire encaissement client",OD-1311,OBCS-884
"La part patronale IS=1,2",OD-1310,OBCS-883
"SERVICE UNAVAILABLE",OD-1309,OBCS-882
"Revoir la mise en forme ou l'emplacement des noms dans le formulaire de pointage",OD-1308,OBCS-881
"Impossible d'exporter les expressions de besoins",OD-1307,OBCS-880
"Connexion à OBC impossible. Apparition de page blanche à la connexion",OD-1306,OBCS-879
"Les demandes de sorties s'affichent à l'enregistrement d'un bordereau de sortie quand bien elles déjà été utilisé",OD-1305,OBCS-878
"Ecriture Incorrect lors de la liaison d'une avance à une facture fournisseur (Achat)",OD-1304,OBCS-877
"SERVICE UNAVAILABLE",OD-1303,OBCS-876
"Baliser ou restreindre le Paramétrage de comptabilisation des natures de prestations",OD-1302,OBCS-875
"Création de N° de poste comptable identique - Plan comptable entité",OD-1300,OBCS-873
"Gestion des avances fournisseur",OD-1298,OBCS-871
"Etats Financiers",OD-1297,OBCS-870
"Impossible d'éditer les factures et bons de commandes",OD-1296,OBCS-869
"Il est impossible de supprimer les fichiers (pdf,image..) rattachés à l'identification d'un véhicule",OD-1295,OBCS-868
"A chaque fois qu'on édite la fiche d'identification des véhicules, le modèle de véhicule se désélectionne",OD-1294,OBCS-867
"Automatisation des arrondie de paie",OD-1293,OBCS-866
"Export Balance générale en vrac",OD-1292,OBCS-865
"Faire les sous totaux par classe sur la balance générale",OD-1291,OBCS-864
"A l'enregistrement d'une demande de sortie de caisse de 2023, les projets de 2023 ne se déversent pas dans la partie ""Axe analytique""",OD-1290,OBCS-863
"A la modification d'une opération de caisse de 2023, la demande de sortie rattachée initialement se désélectionne . Après avoir rattaché manuellement la demande, les codes projets ne se déversent pas dans ""Axe Analytique""",OD-1289,OBCS-862
"Staffing",OD-1288,OBCS-861
"Absence de notification Workflow",OD-1287,OBCS-860
"Demande de sortie de caisse",OD-1286,OBCS-859
"Nombre de part non plafonné",OD-1285,OBCS-858
"Mauvaise position Total cotisation sur le bulletin",OD-1284,OBCS-857
"Suppression de données Impossible - Type d'état",OD-1283,OBCS-856
"Possibilité de définir la base (fiscale ou sociale) sur laquelle la nouvelle reforme des impôts se fait.",OD-1281,OBCS-854
"Le PUMP ou les quantités sorties de certains articles est négatif",OD-1280,OBCS-853
"Lors du processus de workflow, lorsque la décision ""demande d'information"" est choisi, la demande devient introuvable dans le système.",OD-1279,OBCS-852
"Garder le salaire de base précédent une revalorisation. Afin de garder la première valeur du salaire de base de l'employé à son embauche",OD-1278,OBCS-851
"RH/Gestion Employés/ Pointage permanent",OD-1277,OBCS-850
"Audit projet: Faire resortie l'état des dépenses de la caisse sur le dashboard audit projet",OD-1276,OBCS-849
"Formulaire bordereau de sortie de stock",OD-1275,OBCS-848
"Lenteur d'affichage : Les formulaires du bordereau d'entrée, sorties et des demandes de sortie",OD-1274,OBCS-847
"Audit projet: Sur le dashbord audit projet ‘'etat de stock’' ajouter une colonne date",OD-1273,OBCS-846
"Lenteur système",OD-1272,OBCS-845
"Un message d'erreur apparait après la modification d'un dévis",OD-1271,OBCS-844
"Impossible de visualliser via la loupe en historique",OD-1270,OBCS-843
"Date retenue pour l'attestation de travail",OD-1269,OBCS-842
"Aucune donnée disponible pour les paramètres sélectionnés (Année, Mois)",OD-1268,OBCS-841
"Le montant de la ""rubrique assurance maladie santé n'est pas récupéré dans le calcul de salaire de janvier 2024",OD-1267,OBCS-840
"Enregistrement programmation règlement Impossible",OD-1266,OBCS-839
"Lorsqu'il y a revalorisation catégorielle, OBC prend en compte l'ancien salaire minimum pour le calcul de l'ancienneté lors de la paie ",OD-1265,OBCS-838
"Message d'erreur 5 ou 1 apparaissant lors du choix du type axe analytique dans la demande de sortie de stock",OD-1264,OBCS-837
"Fitrer les sorties de stock par projet",OD-1263,OBCS-836
"Possibilité de rendre visible la partie ""description tâches"" dans le formulaire et à l'enregistrement de projet",OD-1262,OBCS-835
"Export des données excel en vrac (Sur toute les données exportables)",OD-1261,OBCS-834
"Un message d'erreur apparait sur la caisse de KORI",OD-1260,OBCS-833
"Demande de suppression données 2022",OD-1259,OBCS-832
"Paramétrage Workflow",OD-1258,OBCS-831
"Erreur serveur lors de la connexion sur un compte OBC",OD-1257,OBCS-830
"Donner la possibilité de créer les mêmes ville - Création station",OD-1256,OBCS-829
"Impression et rognage image - Gestion de véhicule",OD-1255,OBCS-828
"Affichage photo de véhicule enregistrer dans Dashboard",OD-1254,OBCS-827
"Formule prise de carburant",OD-1253,OBCS-826
"Apparition d'écran bleu par moment (image joint)",OD-1252,OBCS-825
"Paramétrage Reforme ITS sur Bases clients",OD-1251,OBCS-824
"Service Unavailable",OD-1250,OBCS-823
"Accès Dashboard personnalisé",OD-1249,OBCS-822
"Non affichage du formulaire de facture vente",OD-1248,OBCS-821
"Intégration Retenue sur Avance",OD-1247,OBCS-820
"Code projet ne s'affichant pas sur la nouvelle année",OD-1246,OBCS-819
"si oui aller d'abord supprimer ces opportunités",OD-1244,
"S'assurer que le prospect n'a pas déjà fait objet d'une opportunité, sinon supprimer le prospect",OD-1243,
"si oui aller d'abord supprimer ces opportunités",OD-1242,
"Pour la suppression de ces , vérifier qu'elle ne sont pas utilisées par des opportunités, sinon supprimer l'offre",OD-1241,
"si oui aller d'abord supprimer ces offres",OD-1240,
"Vérifier qu'une offre n'utilise pas des lots de ce programme sinon supprimer le programme",OD-1239,
"Intégrer l'option de filtre par ordre sur les libellés des colonnes en historique des journaux (Ex: Historique Factures fournisseurs)",OD-1238,OBCS-817
"Rattacher les numéros de compte aux rubriques pour la caisse par exemple",OD-1237,OBCS-816
"Intégrer ""Avance sur démarrage"" sur le formulaire des devis comme c’est fait sur les factures clients",OD-1236,OBCS-815
"Ajouter le champ "" référence"" en historique des écritures manuelles, pour faciliter les recherches",OD-1235,OBCS-814
"Il est impossible de supprimer la dernière étape du workflow de demande d'absence",OD-1234,OBCS-813
"EGBV: Intégration de contrats ""appartement et villa"" sur CRM",OD-1233,OBCS-812
"Intégration du RAN dans les balances âgées sur OBC",OD-1231,OBCS-811
"Code projet ne se deverses pas à l'enregistrement des time sheet",OD-1230,OBCS-810
"Prise en compte pour calcul de Paie Sénégal",OD-1229,OBCS-809
"Lors de l'exportation des factures fournisseurs, les informations exportés sont incomplètes",OD-1228,OBCS-808
"Impossible de générer les données de Bons d'entrées et bon de sorties",OD-1227,OBCS-807
"Le montant récupéré lors de l'arbitrage est différent de celui inscrit dans la cotation",OD-1226,OBCS-806
"La prime d'ancienneté varie en fonction du nombre de jour travaillé",OD-1225,OBCS-805
"Lorsqu'on supprime un programme BTP comprenant des îlots, ces mêmes îlots se déversent dans ""choix des biens"" qui est présent sur le formulaire ""Fiche offre BTP""",OD-1224,OBCS-804
"A l'enregistrement d'une sortie de caisse, le message ""Veuillez saisir un bénéficiaire"" apparaît malgré le fait qu'on ai saisi un bénéficiaire.'",OD-1223,OBCS-803
"Mise à jour automatique du formulaire document véhicule en fonction du type de Document",OD-1222,OBCS-802
"Rajouter à la liste des documents : Carte de transporteur & Quittance de paiement",OD-1221,OBCS-801
"Relance fournisseur",OD-1219,OBCS-799
"Gestion parc auto / Entité",OD-1218,OBCS-798
"Jeux de sélection et désélection entité",OD-1216,OBCS-796
"Il est impossible d'enregistrer un projet",OD-1215,OBCS-795
"Réconciliation bancaire",OD-1214,OBCS-794
"Export factures achat ajouter une colonne pour la description et une colonne pour le code projet",OD-1213,OBCS-793
"Le Chiffre d'affaire facturé affiché sur la page d'accueil est différent de celui affiché dans la balance.",OD-1212,OBCS-792
"Dans ""Suivi programme BTP"", le jeu de couleur pour différencier les offres n'est pas effectif sur SERTEM PM",OD-1210,OBCS-790
"Intégration du modèle livre de paie sénégal",OD-1209,
"Impossible d'effectuer les TimeSheet",OD-1208,OBCS-789
"A l'édition d'un contrat les conditions de règlement ne suivent l'ordre",OD-1207,OBCS-788
"Message d'erreur à la validation de bordereau de sortie de stock",OD-1206,OBCS-787
"Paramétrage ITS Nouvelle réforme",OD-1205,OBCS-786
"Erreur serveur",OD-1204,OBCS-785
"Application du coefficient de vente",OD-1203,OBCS-784
"Intégration Relance Fournisseur",OD-1202,OBCS-783
"Revue Base de Calcul de certains impôts ou Références",OD-1201,OBCS-782
"Impossible d'éffectuer un rapprochement bancaire",OD-1200,OBCS-781
"La nomenclature du code projet est imposé",OD-1199,OBCS-780
" Le P&L des projets n'affiche aucune données. et mise à jour du tableau de périodicité (ajout de trimestre, semestre, annuel)",OD-1197,OBCS-778
"Demande d'intégration des alertes",OD-1196,OBCS-777
"Urgence signalé : En historique des opérations de caisse, le dashboard récapitulatif des opérations de caisse est figé sur l'exercice en cours(2024) et non sur la base de travail (2023).",OD-1195,OBCS-776
"Désactiver un utilisateur de la base OBC",OD-1194,OBCS-775
"FORMULAIRE DE REPRISE DE SERVICE APRES UNE ABSENCE ENREGISTREE",OD-1193,OBCS-774
"Ajouter les rôles ""Gestion des prospects"" et ""Gestion des clients"" dans CRM",OD-1192,OBCS-773
"Il y a un message d'erreur lorsqu'on enregistre une programmation de salaire",OD-1190,OBCS-771
"Ajouter le rôle ""ajouter un commercial"" dans CRM",OD-1189,OBCS-770
"Absence de bouton suppression pour la fonctionnalité Ordre de mission",OD-1188,OBCS-769
"Erreur sur Contrat à durée Indéterminé / Déterminé avec Essai",OD-1187,OBCS-768
"A la validation du stock un message d'erreur s'affiche (erreur de suppression de l'enregistrement)",OD-1186,OBCS-767
"Message d'erreur à la validation d'une demande de sortie de stock",OD-1184,OBCS-765
"Absence de corbeille pour la suppression des opérations",OD-1183,OBCS-764
"Modification Ordre de mission Impossible",OD-1182,OBCS-763
"Dysfonctionnement Incrémentation automatique du Dashboard",OD-1181,OBCS-762
"Message d'erreur lors de la suppression d'un prospect",OD-1180,OBCS-761
"Message d'erreur lors de l'édition de l'opportunité",OD-1179,OBCS-760
"Workflow Programmation Salaire",OD-1177,OBCS-758
"Facture Vente - La liste des retenue sur avance ne se déverse pas",OD-1176,
"Suivre les évaluations et objectifs des employés",OD-1175,OBCS-757
"Créer les imputations comptables des effets de commerce",OD-1174,
"Dysfonctionnement - Incrémentation du nombre de jour du",OD-1173,OBCS-756
"Demande d'absence",OD-1172,OBCS-755
"Dysfonctionnement modification Demande d'absence",OD-1171,OBCS-754
"Le formulaire de programmation salaire journaliers ne s'affiche pas",OD-1170,OBCS-753
"Impossible de supprimer et modifier les timesheets des journaliers et des permanents",OD-1169,OBCS-752
"Lorsqu'on clique sur le pilotage commercial-dashboard, on a le message: ""erreur ajax""",OD-1168,OBCS-751
"Récupération de montant en euro",OD-1167,OBCS-750
"Faire en sorte qu'on puisse voir le nombre total des lignes dans l'historique ""opportunité""",OD-1166,OBCS-749
"Etat des deals: La période en cours du tableau “Etat des deals” ne s’affiche pas par défaut.",OD-1165,OBCS-748
"Salaire occasionnel",OD-1164,OBCS-747
"A l'édition d'une opportunité, une date de création est précisé. Mais quand on se rend en historique des opportunités, la date de création correspond à celle de la saisie..",OD-1163,OBCS-746
"Paramétrer la fonctionnalité de ventilation analytique directe par entité.",OD-1162,
"Retenue sur avance ne se deverse pas",OD-1161,OBCS-745
"Salaire occasionnel",OD-1160,OBCS-744
"Ajouter la photo dans l'historique des contacts enregistrés",OD-1158,OBCS-742
"Export Excel de la balance générale impossible",OD-1157,OBCS-741
"Impossible d'enregistrer une note de Frais",OD-1156,OBCS-740
"Analyse générale sur la comptabilité  analytique",OD-1155,
"Créer les accès et menu utilisateurs du sous-modules état financier",OD-1154,
"Etat de stock par projet",OD-1153,OBCS-739
"Salaire occasionnel",OD-1152,OBCS-738
"Ajouter hebdomadaire au niveau de la périodicité",OD-1151,OBCS-737
"Impact Epouses sur le nombre de part",OD-1149,OBCS-735
"Plusieurs clients ne s'affichent pas dans l'historique des clients",OD-1148,OBCS-734
"Solde initial & progressif, banque et Caisse Non récupéré",OD-1147,OBCS-729
"Message d'erreur lors de l'enregistrement de la facture client. Néanmoins la facture apparait dans l'historique",OD-1146,OBCS-728
"Mauvais affichage RAPPORT: DECLARATION ITS",OD-1145,OBCS-727
"RAPPORT: JOURNAL DE PAIE DE OKC APPARAIT CHEZ ETRAKOM-CI",OD-1144,OBCS-726
"Export de données incomplet-Bon de commande",OD-906,
"L'écran OBC affiche momentanément un message d'erreur comme sur la capture ci-joint",OD-905,
"Intégration Processus de production béton-BAYSIDE",OD-904,
"Gestion de prêt : intégration de quotité cessibles, vérification de la domiciliation, suivi contrat",OD-903,
"Séparation des types d'achat (frais généraux, immobilisation, chantiers…..)",OD-902,
"Importation du plan analytique",OD-901,
"Générer automatiquement les numéros de factures selon le modèle SERTEM GROUP HA/01-04-23",OD-900,
"Paiement fournisseur sur la base de Bons de commande",OD-899,
"Intégration des notions stock de congés avec solde et sans solde",OD-898,OBCS-717
"La balance comptable ne s'affiche pas",OD-897,OBCS-716
"Brut Fiscal comme base de calcul des impôts Sénégal",OD-896,OBCS-715
"Export sans données sur le nombre d'épouse",OD-895,OBCS-714
"Prise en compte de la TVA sur un seul article",OD-894,OBCS-713
"Suppression des écritures",OD-891,OBCS-712
"Intégrer les versions anglaises dans OBC",OD-890,
"Générer un fichier avec tous les fields de OBC pour traduction en anglais",OD-889,
"Version Anglaise OBC",OD-888,
"Création du nouveau motif pour le bordereau d'entrée lié au facture fournisseur/achat (Achat spot, achat direct, achat consultation)",OD-887,
"Automatisation du paramétrage et du support",OD-886,
"Portail employé, à l'édition des bulletins il affiche aucune donnée disponible",OD-885,OBCS-711
"Montants non programmés affiché sur le dashboard accueil n'est pas exacte",OD-884,OBCS-710
"Impossible de supprimer un lettrage",OD-883,OBCS-709
"La liste deroulante des projets dans le filtre de l'historique stafing s'affiche blanche",OD-882,OBCS-708
"Non affichage des données du RAN sur la balance générale",OD-881,OBCS-707
"Les deux modes de calcul de gratification à intégrer sur OBC",OD-880,OBCS-706
"Lorsqu'on met des filtres en historique des demandes de sorties de caisse, le ""total montants estimés"" ne prend pas en compte le filtre",OD-879,OBCS-705
"Faire plus d'une paie dans le même mois afin d'obtenir un bulletin pour chaque paie",OD-878,OBCS-704
"Un contrat journalier déjà enregistré ne s'affiche pas dans l'historique.",OD-877,OBCS-703
"Impacter directement le stock à l'enregistrement de la facture vente requete pour un prospect.",OD-876,
"Message d'erreur",OD-875,OBCS-691
"Impossible de supprimer un bordereau de sortie - Enregistrer et non valider",OD-874,OBCS-690
"Workflow sur les opérations bancaires (Transfert dépôt / Note de Débit Crédit)",OD-873,OBCS-689
"Rajouter un Workflow au processus de calcul de salaire",OD-872,OBCS-688
"Sur le dashboard projet fonctionalité audit, les montants du détail des achats affectés au projet s'affichent en dollars de FCFA pour les achats import",OD-870,OBCS-686
"Demande de Suppression test sur production",OD-869,OBCS-685
"Revoir le mode de calcul d'ancienneté dans la base des clients (tenir compte des deux premières années pour 2% révolu et 1% à partir de la troisième année non révolu)",OD-868,OBCS-684
"Visibilité de l'organigramme",OD-867,OBCS-683
"Audit projet le détail du stock ne s'affiche plus",OD-866,OBCS-682
"Accès au bouton calculer dans calcul OHADA",OD-865,OBCS-681
"Lorsqu'on met des filtres en historique des demandes de sorties de caisse, le total montants estimés ne prend pas en compte le filtre",OD-864,OBCS-680
"Lorsqu'on met des filtres en historique de encaissement client, le montant total ne prend pas en compte le filtre",OD-863,OBCS-679
"Donner la possibilité au validateur de modifier les opérations de workflow (Opération de caisse) avant de valider sans toute fois aller dans le détail des fonctionnalités",OD-862,OBCS-678
"Stabilisation des tableaux de bord",OD-861,
"Intégrer les sous-projets dans les timesheets des permanents",OD-860,OBCS-677
"Revalorisation de la paie avec l'annexe fiscal de 2023",OD-859,
"V2 - Impacter le réalisé du projet par la sortie du stock sur les projets",OD-858,OBCS-676
"V3 - P1 : Balance analytique : Construire les deux versions de rapports (détaillées et compactes)",OD-857,OBCS-446
"V2 - P1 : Balance analytique : Construire la source de données des rapports",OD-856,OBCS-445
"V0 - P1 : Permettre la ventilation analytique de toutes les opérations sur plusieurs projets",OD-854,OBCS-444
"V2 - P1 : Permettre la ventilation analytique des opérations de paiement Honoraire et remboursement",OD-853,OBCS-443
"V3 - P1 : Permettre la ventilation analytique de toutes les opérations du module RH sur plusieurs projets",OD-852,OBCS-442
"V2 - P1 : Etablir La liaison des saisies manuelles affectées au projets de l'exercice en cours",OD-851,OBCS-675
"V1 - Balance analytique : Définir le formulaire de filtre",OD-850,OBCS-441
"Corriger les écarts constatés sur les montants",OD-849,OBCS-393
"Historique contrats journaliers vide malgré qu’on a des contrats enregistrés",OD-848,OBCS-674
"Balance générale : Intégrer modèle affichage des sous-totaux par classe",OD-847,OBCS-673
"Comptabilité analytique",OD-846,
"Avoir un état des cordonnées enregistrés depuis le prospect au client",OD-845,OBCS-672
"Erreur sur fonction ""Enregistrer Facture Achat""",OD-844,OBCS-671
"Erreur Serveur",OD-841,OBCS-669
"Lorsqu'on met des filtres en historique des factures ventes, les montants récapitulatifs HT et TTC ne prennent pas en compte le filtre",OD-840,OBCS-668
"A l'enregistrement des heures travaillées des journaliers les agents ne se deversent pas.",OD-839,OBCS-667
"Suppression des bordereaux d'entrée et de sortie de stock",OD-838,OBCS-666
"Modification DUPLICATA CONTRAT",OD-837,OBCS-665
"Impossible d'exporter un journal général",OD-836,OBCS-664
"Message d'erreur sur dashboard RH",OD-835,OBCS-663
"Lors de l'édition, le champ Effet apparait 3 Fois, et impossible d'enregistrer le formulaire tant que les 3 champs ne sont pas saisis.",OD-834,OBCS-662
"Certains bulletins de salaire vont sur deux pages. Réajuster de sorte que toutes les rubriques utilisées par le client puisse tenir sur une page",OD-833,OBCS-661
"Incohérence des données au niveau des données la fonctionnalité suivi de stock (Le résultat du stock théorique ne respect pas la méthode de calcul)",OD-832,OBCS-660
"Non affichage de taux dans le calcul de paie OHADA",OD-831,OBCS-659
"On constate que les comptes tiers se désélectionnent après l'enregistrement d'écritures manuelle",OD-830,OBCS-658
"Après l'enregistrement d'un devis comprenant du stock, les articles du stock se désélectionnent à l'édition de ce devis.",OD-828,OBCS-656
"Non déversement du stock sur une facture de vente sur devis",OD-827,OBCS-655
"Impossible de supprimer un suspect",OD-826,OBCS-654
"Modification Ecritures manuelle",OD-825,OBCS-653
"L'archivage des numéros d'imputation est incorrect lorsqu'on modifie l'écriture en changeant de journal comptable",OD-824,OBCS-652
"L'impression d'un grand livre mensuel prend en compte le solde initial du compte. Avoir un autre modèle qui ne prend pas en compte le solde initial",OD-823,OBCS-651
"Conversion de devises dans l'enregistrement des notes de frais",OD-822,OBCS-650
"Impossible de saisire la date de fin du contrat ouvrier",OD-821,OBCS-649
"Doublon dans les écritures générées par les factures ventes",OD-820,OBCS-648
"Ancienneté de moins d'un an non pris en compte sur les bulletins",OD-819,OBCS-647
"Certains contrats journaliers enrégistrés sont introuvable dans l'histhorique",OD-818,OBCS-646
"DUPLICATA CONTRAT",OD-817,OBCS-645
"Message d'erreur",OD-816,OBCS-644
"Aucun compte bancaire n'apparait lors de la saisie d'un versement d'espèce en banque",OD-814,OBCS-643
"Impossible de calculer la paie sur un mois ultérieur des employés en CDI",OD-813,OBCS-642
"Impression de billet d'absence",OD-812,OBCS-641
"Erreur Serveur",OD-811,OBCS-640
"Bug - Production",OD-809,OBCS-638
"HISTORIQUE DE GERER MES PROJETS",OD-808,OBCS-637
"Erreur Serveur",OD-807,OBCS-636
"Doublon facture avoir dans relance client impayé",OD-805,OBCS-635
"Aucune donnée ne s'affiche sur le grand livre lorque le mois de juillet et septembre 2023 sont inclus dans les filtres.",OD-803,OBCS-633
"Le montant des factures imports s'affichent en dollar à la programation",OD-802,OBCS-632
"Affichage",OD-801,OBCS-631
"Message d'erreur",OD-800,OBCS-630
"Erreur Serveur",OD-799,OBCS-629
"Saisie dans les formulaires OBC",OD-798,OBCS-628
"Filtre par projet et export dette facture fournisseur",OD-797,OBCS-627
"Impression déclaration ITS et CNPS",OD-796,OBCS-626
"Taxes PPSI",OD-795,OBCS-625
"Impossible d'effectuer des suppressions",OD-794,OBCS-624
"Le formulaire des opérations de caisse s'affiche lorqu'on qu'on clic sur nouvelle opération dans l'onglet historique",OD-793,OBCS-623
"Non affichage du formulaire des opérations de caisse",OD-792,OBCS-622
"Message d'erreur à l'exportation de la base dette fournisseur",OD-791,OBCS-621
"Impossible de trouver la fiche de personnel d'un employé",OD-790,OBCS-620
"Impossible de modifier le staffing",OD-789,OBCS-619
"Message d'erreur à l'enregistrement d'une opportunité",OD-788,OBCS-618
"Affichage Message d'erreur",OD-786,OBCS-616
"LENTEUR CONNEXION",OD-785,OBCS-615
"Enregistrement fiche client",OD-784,OBCS-614
"Erreur d'affichage",OD-783,OBCS-613
"Non affichage de la liste des employés sur le formulaire de demande d'absence",OD-782,OBCS-612
"Message d'erreur sur enregistrement d'opportunité",OD-779,OBCS-610
"Impossible de modifier ou supprimer un programme BTP",OD-778,OBCS-609
"Dashboard Audit projet Liste des sous traitant",OD-775,OBCS-606
"Corriger les bugs constatés lors du remplissage d'une opportunités : upload fichier , fonctionnalité non accessibles par des utilisateurs , opportunités à saisir simple non modifiable",OD-774,OBCS-605
"Alertes sur les écarts prévu réalisé du budget lié à un projet",OD-773,OBCS-439
"Avoir la possibilité de faire des recherches par intervalle de montant dans le journal général",OD-772,OBCS-604
"Donner la possibilité de modifier un règlement en lieu et place de la suppression (A VALIDER)",OD-770,OBCS-602
"Afficher le taux de la prime d'ancienneté sur le bulletin",OD-769,OBCS-601
"Mettre un controle d'interdiction lorsque la nature de prestation ou le parametrage de comptabilisation des natures de prestation existe déjà.",OD-768,OBCS-600
"Possibilité de choisir un même bon de commande à plusieurs reprises dans la saisie de facture tant que celle ci n'est pas soldée",OD-767,OBCS-599
"Faire réapparaitre les statuts Bizdev, Admin, Project sur le formulaire de création de projet",OD-766,OBCS-598
"Ajouter dans la taxe TVA NON FACTURE dans la saisie des factures",OD-765,OBCS-597
"Possibilité de faire l'encaissement par tranche pour les factures d'avoir",OD-764,OBCS-596
"Fusion N° de poste compte général",OD-763,OBCS-595
